"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2023/01/01 14:00:00","EST","GENESE","61753","28.91","-0.96","0","1"
"2023/01/01 14:00:00","EST","H Q","61844","29.33","-0.54","0","1"
"2023/01/01 14:00:00","EST","HUD VL","61758","32.22","2.36","0","1"
"2023/01/01 14:00:00","EST","LONGIL","61762","39.3","3.43","-6","1"
"2023/01/01 14:00:00","EST","MHK VL","61756","30.7","0.83","0","1"
"2023/01/01 14:00:00","EST","MILLWD","61759","32.49","2.63","0","1"
"2023/01/01 14:00:00","EST","N.Y.C.","61761","32.7","2.84","0","1"
"2023/01/01 14:00:00","EST","NORTH","61755","29.2","-0.66","0","1"
"2023/01/01 14:00:00","EST","NPX","61845","31.98","2.12","0","1"
"2023/01/01 14:00:00","EST","O H","61846","27.95","-1.91","0","1"
"2023/01/01 14:00:00","EST","PJM","61847","30.61","0.75","0","1"
"2023/01/01 14:00:00","EST","WEST","61752","28.7","-1.17","0","1"
"2023/01/01 15:00:00","EST","CAPITL","61757","31.33","1.77","-0.99","1"
"2023/01/01 15:00:00","EST","CENTRL","61754","28.63","-0.06","-0.11","1"
"2023/01/01 15:00:00","EST","DUNWOD","61760","31.98","2.72","-0.7","1"
"2023/01/01 15:00:00","EST","GENESE","61753","27.92","-0.74","-0.1","1"
"2023/01/01 15:00:00","EST","H Q","61844","30","-0.6","-2.03","1"
"2023/01/01 15:00:00","EST","HUD VL","61758","31.58","2.31","-0.69","1"
"2023/01/01 15:00:00","EST","LONGIL","61762","41.83","3.4","-9.86","1"
"2023/01/01 15:00:00","EST","MHK VL","61756","29.56","0.89","-0.1","1"
"2023/01/01 15:00:00","EST","MILLWD","61759","31.87","2.6","-0.7","1"
"2023/01/01 15:00:00","EST","N.Y.C.","61761","32.04","2.77","-0.7","1"
"2023/01/01 15:00:00","EST","NORTH","61755","27.86","-0.71","0","1"
"2023/01/01 15:00:00","EST","NPX","61845","33.5","2.06","-2.87","1"
"2023/01/01 15:00:00","EST","O H","61846","28.91","-1.8","-2.14","1"
"2023/01/01 15:00:00","EST","PJM","61847","31.63","0.63","-2.43","1"
"2023/01/01 15:00:00","EST","WEST","61752","27.38","-1.31","-0.12","1"
"2023/01/01 16:00:00","EST","CAPITL","61757","43.04","2.25","-6.71","1"
"2023/01/01 16:00:00","EST","CENTRL","61754","35.03","0.17","-0.78","1"
"2023/01/01 16:00:00","EST","DUNWOD","61760","41.97","3.17","-4.72","1"
"2023/01/01 16:00:00","EST","GENESE","61753","34.23","-0.51","-0.65","1"
"2023/01/01 16:00:00","EST","H Q","61844","31.23","-0.82","2.03","1"
"2023/01/01 16:00:00","EST","HUD VL","61758","41.54","2.76","-4.69","1"
"2023/01/01 16:00:00","EST","LONGIL","61762","57.67","4.02","-19.56","1"
"2023/01/01 16:00:00","EST","MHK VL","61756","35.98","1.23","-0.67","1"
"2023/01/01 16:00:00","EST","MILLWD","61759","41.91","3.07","-4.76","1"
"2023/01/01 16:00:00","EST","N.Y.C.","61761","42.01","3.2","-4.72","1"
"2023/01/01 16:00:00","EST","NORTH","61755","33.16","-0.92","0","1"
"2023/01/01 16:00:00","EST","NPX","61845","40.16","2.42","-3.66","1"
"2023/01/01 16:00:00","EST","O H","61846","31","-1.81","1.28","1"
"2023/01/01 16:00:00","EST","PJM","61847","35.54","0.78","-0.68","1"
"2023/01/01 16:00:00","EST","WEST","61752","33.67","-1.23","-0.82","1"
"2023/01/01 17:00:00","EST","CAPITL","61757","52.74","2.46","-14.61","1"
"2023/01/01 17:00:00","EST","CENTRL","61754","37.54","0.18","-1.69","1"
"2023/01/01 17:00:00","EST","DUNWOD","61760","49.05","3.1","-10.27","1"
"2023/01/01 17:00:00","EST","GENESE","61753","36.49","-0.61","-1.42","1"
"2023/01/01 17:00:00","EST","H Q","61844","34.85","-0.82","0","1"
"2023/01/01 17:00:00","EST","HUD VL","61758","48.67","2.78","-10.21","1"
"2023/01/01 17:00:00","EST","LONGIL","61762","63.35","3.99","-23.68","1"
"2023/01/01 17:00:00","EST","MHK VL","61756","38.48","1.36","-1.46","1"
"2023/01/01 17:00:00","EST","MILLWD","61759","49.03","3","-10.36","1"
"2023/01/01 17:00:00","EST","N.Y.C.","61761","48.98","3.03","-10.28","1"
"2023/01/01 17:00:00","EST","NORTH","61755","34.85","-0.82","0","1"
"2023/01/01 17:00:00","EST","NPX","61845","50.83","2.5","-12.66","1"
"2023/01/01 17:00:00","EST","O H","61846","35.28","-2.03","-1.64","1"
"2023/01/01 17:00:00","EST","PJM","61847","42.17","0.61","-5.89","1"
"2023/01/01 17:00:00","EST","WEST","61752","36.02","-1.43","-1.78","1"
"2023/01/01 18:00:00","EST","CAPITL","61757","45.16","2.08","-11.55","1"
"2023/01/01 18:00:00","EST","CENTRL","61754","32.99","0.13","-1.34","1"
"2023/01/01 18:00:00","EST","DUNWOD","61760","42.55","2.9","-8.12","1"
"2023/01/01 18:00:00","EST","GENESE","61753","32.05","-0.6","-1.12","1"
"2023/01/01 18:00:00","EST","H Q","61844","30.81","-0.72","0","1"
"2023/01/01 18:00:00","EST","HUD VL","61758","42.13","2.52","-8.08","1"
"2023/01/01 18:00:00","EST","LONGIL","61762","56.05","3.69","-20.83","1"
"2023/01/01 18:00:00","EST","MHK VL","61756","33.81","1.13","-1.15","1"
"2023/01/01 18:00:00","EST","MILLWD","61759","42.46","2.74","-8.19","1"
"2023/01/01 18:00:00","EST","N.Y.C.","61761","42.56","2.9","-8.13","1"
"2023/01/01 18:00:00","EST","NORTH","61755","30.81","-0.72","0","1"
"2023/01/01 18:00:00","EST","NPX","61845","43.56","2.24","-9.79","1"
"2023/01/01 18:00:00","EST","O H","61846","31","-1.83","-1.3","1"
"2023/01/01 18:00:00","EST","PJM","61847","36.82","0.63","-4.66","1"
"2023/01/01 18:00:00","EST","WEST","61752","31.61","-1.32","-1.4","1"
"2023/01/01 19:00:00","EST","CAPITL","61757","39.67","1.96","-7.03","1"
"2023/01/01 19:00:00","EST","CENTRL","61754","31.46","-0.03","-0.81","1"
"2023/01/01 19:00:00","EST","DUNWOD","61760","38.59","2.97","-4.94","1"
"2023/01/01 19:00:00","EST","GENESE","61753","30.68","-0.67","-0.68","1"
"2023/01/01 19:00:00","EST","H Q","61844","30","-0.67","0","1"
"2023/01/01 19:00:00","EST","HUD VL","61758","38.13","2.54","-4.91","1"
"2023/01/01 19:00:00","EST","LONGIL","61762","54.91","3.71","-20.52","1"
"2023/01/01 19:00:00","EST","MHK VL","61756","32.42","1.04","-0.7","1"
"2023/01/01 19:00:00","EST","MILLWD","61759","38.45","2.79","-4.98","1"
"2023/01/01 19:00:00","EST","N.Y.C.","61761","38.69","3.07","-4.95","1"
"2023/01/01 19:00:00","EST","NORTH","61755","30.03","-0.65","0","1"
"2023/01/01 19:00:00","EST","NPX","61845","38.81","2.18","-5.96","1"
"2023/01/01 19:00:00","EST","O H","61846","29.66","-1.81","-0.79","1"
"2023/01/01 19:00:00","EST","PJM","61847","34.15","0.65","-2.83","1"
"2023/01/01 19:00:00","EST","WEST","61752","30.18","-1.35","-0.85","1"
"2023/01/01 20:00:00","EST","CAPITL","61757","33.94","1.86","-1.62","1"
"2023/01/01 20:00:00","EST","CENTRL","61754","30.28","-0.36","-0.19","1"
"2023/01/01 20:00:00","EST","DUNWOD","61760","34.31","2.71","-1.14","1"
"2023/01/01 20:00:00","EST","GENESE","61753","29.46","-1.16","-0.16","1"
"2023/01/01 20:00:00","EST","H Q","61844","30","-0.46","0","1"
"2023/01/01 20:00:00","EST","HUD VL","61758","33.94","2.35","-1.14","1"
"2023/01/01 20:00:00","EST","LONGIL","61762","54.22","3.38","-20.39","1"
"2023/01/01 20:00:00","EST","MHK VL","61756","31.47","0.85","-0.16","1"
"2023/01/01 20:00:00","EST","MILLWD","61759","34.13","2.53","-1.15","1"
"2023/01/01 20:00:00","EST","N.Y.C.","61761","34.34","2.74","-1.14","1"
"2023/01/01 20:00:00","EST","NORTH","61755","30.12","-0.33","0","1"
"2023/01/01 20:00:00","EST","NPX","61845","35.64","2.13","-3.05","1"
"2023/01/01 20:00:00","EST","O H","61846","28.23","-2.41","-0.18","1"
"2023/01/01 20:00:00","EST","PJM","61847","31.33","0.21","-0.66","1"
"2023/01/01 20:00:00","EST","WEST","61752","28.67","-1.98","-0.2","1"
"2023/01/01 21:00:00","EST","CAPITL","61757","32.51","1.86","-0.16","1"
"2023/01/01 21:00:00","EST","CENTRL","61754","30.2","-0.3","-0.02","1"
"2023/01/01 21:00:00","EST","DUNWOD","61760","33.47","2.87","-0.11","1"
"2023/01/01 21:00:00","EST","GENESE","61753","29.28","-1.22","-0.02","1"
"2023/01/01 21:00:00","EST","H Q","61844","30","-0.49","0","1"
"2023/01/01 21:00:00","EST","HUD VL","61758","33.1","2.5","-0.11","1"
"2023/01/01 21:00:00","EST","LONGIL","61762","46.84","3.5","-12.85","1"
"2023/01/01 21:00:00","EST","MHK VL","61756","31.33","0.82","-0.02","1"
"2023/01/01 21:00:00","EST","MILLWD","61759","33.32","2.71","-0.12","1"
"2023/01/01 21:00:00","EST","N.Y.C.","61761","33.59","2.99","-0.12","1"
"2023/01/01 21:00:00","EST","NORTH","61755","30.09","-0.4","0","1"
"2023/01/01 21:00:00","EST","NPX","61845","32.76","2.13","-0.14","1"
"2023/01/01 21:00:00","EST","O H","61846","28.22","-2.29","-0.02","1"
"2023/01/01 21:00:00","EST","PJM","61847","31.07","0.52","-0.07","1"
"2023/01/01 21:00:00","EST","WEST","61752","28.92","-1.59","-0.02","1"
"2023/01/01 22:00:00","EST","CAPITL","61757","31.74","1.77","0","1"
